2024-09-06 22:56:31.514 [info] Extension host with pid 49009 started
2024-09-06 22:56:31.514 [info] Skipping acquiring lock for /home/offlinebot/.config/Code/User/workspaceStorage/fd214d1c3d38f928685dbdd9e19daf4f.
2024-09-06 22:56:31.625 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-09-06 22:56:31.627 [info] ExtensionService#_doActivateExtension standard.vscode-standard, startup: true, activationEvent: '*'
2024-09-06 22:56:31.686 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-09-06 22:56:31.703 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-09-06 22:56:31.740 [info] Eager extensions activated
2024-09-06 22:56:31.810 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.810 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.814 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.816 [info] ExtensionService#_doActivateExtension equinusocio.vsc-material-theme-icons, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.841 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.848 [info] ExtensionService#_doActivateExtension usernamehw.errorlens, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.850 [info] ExtensionService#_doActivateExtension vscodevim.vim, startup: false, activationEvent: 'onStartupFinished'
2024-09-06 22:56:31.966 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-09-06 22:56:31.969 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
